Interval,GMTIntervalEnd,Settlement Location,Pnode,LMP,MLC,MCC,MEC
01/26/2025 08:05:00,01/26/2025 14:05:00,AESO,AESO,31.6227,0.4020,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,AVA,AVA,31.6480,0.4274,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,AVRN,AVRN,31.7150,0.4943,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,AZPS,APS,32.1513,0.9307,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,BANC,BANC,31.8779,0.6573,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,BCHA,BCHA,31.6772,0.4566,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,BPA,BPA,31.7054,0.4848,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,CEN,CEN,32.1036,0.8830,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,CHPD,CHPD,31.6904,0.4698,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,CISO,CISO,31.9462,0.7256,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,DEAA,DEAA,32.1468,0.9262,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,DOPD,DOPD,31.6867,0.4661,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,EPE,EPE,32.2755,1.0549,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,GCPD,GCPD,31.6929,0.4723,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,GRID,GRID,31.8693,0.6487,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,GWA,GWA,31.5244,0.3038,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,HGMA,HGMA,32.1468,0.9262,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,IID,IID,32.0970,0.8763,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,IPCO,IPCO,31.7165,0.4959,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,LADWP,LADWP,32.0331,0.8125,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,LAMW,LAMW,27.6619,-3.5587,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,MCDC,MCDC,29.9029,-1.3177,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,NEVP,NVE,32.0327,0.8120,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,NWMT,NWMT,31.4535,0.2329,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PACE,PACE,31.5838,0.3631,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PACW,PACW,31.7377,0.5171,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PGAE,CISO,31.9462,0.7256,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PGE,PGE,31.7239,0.5032,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PNM,PNM,32.3311,1.1105,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.AIRPORTDL,PSCOBHCEAPTPARKPLT1,30.0265,-1.1942,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.BRWF1,PSCORATLSNKUNRATLSNK1_WIND_RA,30.1718,-1.0488,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.BRWF2,PSCOBRW2UNRATLSNK2_WIND_RA,30.1659,-1.0547,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.PAGS1,PSCOBACUMESAUNBACUMESA_1_RA,29.9300,-1.2906,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.PAGS2,PSCOBACUMESAUNBACUMESA_2_RA,29.9307,-1.2899,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.PAGS4,PSCOBHCEBACUMESAPLT1,29.9082,-1.3124,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.PAGS5,PSCOBHCEBACUMESAPLT2,29.9277,-1.2929,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.PAGS6,PSCOBACUMESAUNCT6_RA,29.9895,-1.2311,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.PEAKVIEW,PSCOPEAKVWBHUNPEAKVW_WIND_RA,30.1792,-1.0414,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.PPLANTDL,PSCOBHCEPUEBPLT1,30.2950,-0.9256,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.BHCE.RFDIESEL,PSCOBHCERCKYFORDPLT1,30.1515,-1.0692,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.CORE.HUNTER.SLR,PSCOBRICUNCOR_HUNTER_SLR_RA,30.7954,-0.4252,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.CORE.PIONEER.SLR,PSCOPIONEERWUNPIONEER_SOLAR_RA,30.8566,-0.3640,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.CORE.VICTORY.SLR,PSCOVICTRYUNVICTRY_SOLAR_RA,30.8841,-0.3365,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.CSUM.PRPA_SCWIND,PSCOSPCAUNSPCYN_WND_CSU_RA,30.0748,-1.1459,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.CSUM.PUEBLOHYDRO,PSCOPUEBRESVUNHYDRO_RA,30.2350,-0.9856,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.GUZ.BRONCO,PSCOBRNCPLNSUNBRPL2_GUZ_RA,29.2861,-1.9345,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.HCE.BLANCAPK.SLR,PSCO.HCE.BLANCAPK.SLR_H,32.6763,1.4556,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.HCE.EAGLEVLY,PSCOCOOLUNEAGLEVL_RA,32.1354,0.9148,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.HCE.HUNTER.SLR,PSCOBRICUNHCE_HUNTER_SLR_RA,30.7954,-0.4252,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.HCE.ORCHARD,PSCOW_VINEUNORCHARD_RA,32.2271,1.0064,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.HCGE.BRONCO,PSCOBRNCPLNSUNBRPL2_HCE_RA,29.2861,-1.9345,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.CRAIG1,PSCOCRG_PSCOUNPRPA_CRG_U1_RA,31.1307,-0.0899,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.CRAIG2,PSCOCRG_PSCOUNPRPA_CRG_U2_RA,31.1334,-0.0872,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.FLATS,PSCORAWHIDEUNFLATS_SOLAR_RA,30.4606,-0.7600,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.MEDICINEBOW,PSCO.PRPM_W.MEDICINEBOW_H,30.7743,-0.4463,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.PRAIRIE,PSCORAWHIDEUNPRAIRIE_SOLAR_RA,30.4606,-0.7600,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.RAWHIDE1,PSCORAWHIDEUNRAWHIDE_1_RA,30.4624,-0.7583,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.RAWHIDEA,PSCORAWHIDEUNRAWHIDE_A_RA,30.4624,-0.7583,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.RAWHIDEB,PSCORAWHIDEUNRAWHIDE_B_RA,30.4624,-0.7583,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.RAWHIDEC,PSCORAWHIDEUNRAWHIDE_C_RA,30.4624,-0.7583,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.RAWHIDED,PSCORAWHIDEUNRAWHIDE_D_RA,30.4624,-0.7583,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.RAWHIDEF,PSCORAWHIDEUNRAWHIDE_F_RA,30.4624,-0.7583,0.0000,31.2207
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PRPM_W.ROUNDHOUSE,PSCOROUNDHSEUNROUNDHSE_WND_RA,30.4631,-0.7575,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSC.BCP2,PSCOPSCOCPP1PLT2,30.4473,-0.7733,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.ALAMOSA.SLR,PSCOMOSCUNALAMOSA_SOLAR_RA,33.0270,1.8064,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.ARAP567.CC,PSCOPSCOARAPPLT1,31.1731,-0.0475,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.ATERG1,PSCOATERUNALAMOSA_G1_RA,32.9745,1.7539,0.0000,31.2206
01/26/2025 08:05:00,01/26/2025 14:05:00,PSCO.PSCM.ATERG2,PSCOATERUNALAMOSA_G2_RA,32.9470,1.7264,0.0000,31.2206
